Round 1, 2017; Carlton; 7; 4; Collingwood; 1; 5
Qualifying Final, 2022 (Season 7); Brisbane; 5; 9; Richmond; 3; 4
Elimination Final, 2022 (Season 7); Geelong; 1; 8; North Melbourne; 2; 4
Elimination Final, 2022 (Season 7); Collingwood; 5; 10; Western Bulldogs; 5; 5
Semi Final, 2022 (Season 7); Richmond; 6; 2; North Melbourne; 11; 8
Semi Final, 2022 (Season 7); Adelaide; 3; 5; Collingwood; 1; 5
Preliminary Final, 2022 (Season 7); Brisbane; 7; 4; Adelaide; 3; 5
Preliminary Final, 2022 (Season 7); Melbourne; 5; 3; North Melbourne; 2; 4
Grand Final, 2022 (Season 7); Brisbane; 2; 3; Melbourne; 2; 7
Round 1, 2023; Melbourne; 10; 13; Collingwood; 4; 7
Round 1, 2023; Carlton; 5; 4; Gold Coast; 4; 8
Round 1, 2023; Adelaide; 8; 10; Port Adelaide; 4; 4
Round 1, 2023; Geelong; 10; 5; Western Bulldogs; 2; 5
Round 1, 2023; Hawthorn; 4; 6; Essendon; 7; 7
Round 1, 2023; North Melbourne; 8; 8; St Kilda; 2; 4
Round 1, 2023; Brisbane; 5; 4; Richmond; 6; 4
Round 1, 2023; Sydney Swans; 7; 9; Greater Western Sydney; 7; 4
Round 1, 2023; Fremantle; 4; 3; West Coast Eagles; 2; 7
Round 2, 2023; Richmond; 2; 0; Adelaide; 6; 5
Round 2, 2023; Gold Coast; 15; 9; West Coast Eagles; 4; 2
Round 2, 2023; Port Adelaide; 4; 2; Brisbane; 11; 10
Round 2, 2023; Sydney Swans; 5; 11; Geelong; 10; 8
Round 2, 2023; Western Bulldogs; 5; 9; Hawthorn; 6; 10
Round 2, 2023; Collingwood; 7; 4; Fremantle; 3; 7
Round 2, 2023; North Melbourne; 10; 6; Carlton; 1; 0
Round 2, 2023; Essendon; 6; 4; St Kilda; 4; 4
Round 2, 2023; Greater Western Sydney; 3; 4; Melbourne; 15; 9
Round 3, 2023; Geelong; 3; 4; North Melbourne; 4; 7
Round 3, 2023; Greater Western Sydney; 5; 4; Richmond; 7; 11
Round 3, 2023; Adelaide; 12; 9; Essendon; 5; 4
Round 3, 2023; Melbourne; 12; 11; Western Bulldogs; 6; 5
Round 3, 2023; Fremantle; 5; 5; Hawthorn; 3; 4
Round 3, 2023; St Kilda; 7; 6; Port Adelaide; 8; 8
Round 3, 2023; West Coast Eagles; 3; 6; Carlton; 12; 5
Round 3, 2023; Collingwood; 2; 9; Gold Coast; 5; 3
Round 3, 2023; Brisbane; 14; 3; Sydney Swans; 4; 8
Round 4, 2023; Hawthorn; 1; 5; Melbourne; 10; 10
Round 4, 2023; Greater Western Sydney; 5; 7; Adelaide; 16; 10
Round 4, 2023; Carlton; 6; 4; Richmond; 7; 5
Round 4, 2023; Port Adelaide; 5; 12; Geelong; 11; 4
Round 4, 2023; Sydney Swans; 5; 4; West Coast Eagles; 2; 9
Round 4, 2023; North Melbourne; 5; 3; Brisbane; 5; 5
Round 4, 2023; Essendon; 7; 8; Fremantle; 4; 6
Round 4, 2023; St Kilda; 7; 5; Collingwood; 5; 5
Round 4, 2023; Gold Coast; 7; 6; Western Bulldogs; 7; 2
Round 5, 2023; Geelong; 4; 1; Melbourne; 11; 8
Round 5, 2023; Richmond; 4; 6; Fremantle; 5; 7
Round 5, 2023; Carlton; 6; 8; Sydney Swans; 6; 3
Round 5, 2023; Western Bulldogs; 6; 0; St Kilda; 8; 6
Round 5, 2023; West Coast Eagles; 6; 3; Port Adelaide; 4; 9
Round 5, 2023; Collingwood; 6; 8; Essendon; 3; 6
Round 5, 2023; North Melbourne; 4; 8; Greater Western Sydney; 0; 2
Round 5, 2023; Hawthorn; 5; 2; Brisbane; 8; 11
Round 5, 2023; Adelaide; 7; 5; Gold Coast; 2; 3
Round 6, 2023; Western Bulldogs; 4; 10; Carlton; 8; 5
Round 6, 2023; Greater Western Sydney; 6; 8; West Coast Eagles; 3; 6
Round 6, 2023; Melbourne; 7; 4; Adelaide; 8; 8
Round 6, 2023; St Kilda; 7; 3; Hawthorn; 5; 6
Round 6, 2023; Port Adelaide; 3; 12; Sydney Swans; 6; 9
Round 6, 2023; Brisbane; 3; 10; Collingwood; 5; 3
Round 6, 2023; Essendon; 4; 5; Geelong; 2; 7
Round 6, 2023; Richmond; 5; 5; Gold Coast; 5; 6
Round 6, 2023; Fremantle; 3; 3; North Melbourne; 10; 6
Round 7, 2023; Adelaide; 9; 5; Western Bulldogs; 2; 5
Round 7, 2023; St Kilda; 7; 6; Greater Western Sydney; 5; 5
Round 7, 2023; Geelong; 6; 11; Fremantle; 3; 5
Round 7, 2023; Sydney Swans; 3; 8; Hawthorn; 5; 10
Round 7, 2023; Gold Coast; 3; 3; Brisbane; 8; 9
Round 7, 2023; Richmond; 5; 6; Essendon; 8; 5
Round 7, 2023; North Melbourne; 13; 9; Port Adelaide; 3; 6
Round 7, 2023; Carlton; 1; 4; Collingwood; 4; 3
Round 7, 2023; West Coast Eagles; 2; 0; Melbourne; 11; 16
Round 8, 2023; Hawthorn; 4; 6; Richmond; 6; 5
Round 8, 2023; Western Bulldogs; 6; 3; Sydney Swans; 14; 12
Round 8, 2023; Brisbane; 5; 12; Adelaide; 6; 3
Round 8, 2023; Greater Western Sydney; 8; 1; Carlton; 7; 5
Round 8, 2023; Port Adelaide; 7; 3; Gold Coast; 7; 3
Round 8, 2023; Melbourne; 5; 7; North Melbourne; 2; 2
Round 8, 2023; Collingwood; 4; 6; Geelong; 3; 6
Round 8, 2023; Fremantle; 6; 9; St Kilda; 3; 3
Round 8, 2023; Essendon; 2; 7; West Coast Eagles; 3; 5
Round 9, 2023; Gold Coast; 7; 6; Greater Western Sydney; 2; 5
Round 9, 2023; Melbourne; 8; 13; Fremantle; 4; 4
Round 9, 2023; St Kilda; 8; 7; Brisbane; 5; 4
Round 9, 2023; Essendon; 8; 8; Carlton; 3; 6
Round 9, 2023; West Coast Eagles; 5; 6; Western Bulldogs; 6; 8
Round 9, 2023; Richmond; 1; 5; Geelong; 6; 13
Round 9, 2023; Sydney Swans; 9; 4; Collingwood; 5; 9
Round 9, 2023; Adelaide; 6; 5; North Melbourne; 5; 8
Round 9, 2023; Hawthorn; 6; 4; Port Adelaide; 5; 2
Round 10, 2023; Gold Coast; 6; 3; Essendon; 3; 7
Round 10, 2023; Western Bulldogs; 1; 3; North Melbourne; 7; 13
Round 10, 2023; Port Adelaide; 13; 10; Greater Western Sydney; 4; 6
Round 10, 2023; Geelong; 9; 6; Hawthorn; 3; 2
Round 10, 2023; West Coast Eagles; 6; 9; Adelaide; 11; 5
Round 10, 2023; Brisbane; 8; 5; Melbourne; 4; 4
Round 10, 2023; Carlton; 3; 8; St Kilda; 7; 4
Round 10, 2023; Collingwood; 4; 1; Richmond; 11; 11
Round 10, 2023; Fremantle; 2; 6; Sydney Swans; 5; 10
Qualifying Final, 2023; Adelaide; 5; 7; Brisbane; 6; 3
Qualifying Final, 2023; Melbourne; 1; 3; North Melbourne; 7; 8
Elimination Final, 2023; Gold Coast; 6; 5; Sydney Swans; 9; 4
Elimination Final, 2023; Geelong; 7; 9; Essendon; 5; 3
Semi Final, 2023; Adelaide; 12; 10; Sydney Swans; 2; 3
Semi Final, 2023; Melbourne; 6; 9; Geelong; 7; 8
Preliminary Final, 2023; Brisbane; 6; 2; Geelong; 5; 4
Preliminary Final, 2023; North Melbourne; 4; 8; Adelaide; 4; 7
Grand Final, 2023; North Melbourne; 4; 3; Brisbane; 7; 2
Week 1, 2024; Sydney Swans; 8; 2; Collingwood; 4; 11
Week 1, 2024; West Coast Eagles; 6; 4; Richmond; 5; 9
Week 1, 2024; Greater Western Sydney; 10; 12; Western Bulldogs; 1; 3
Week 1, 2024; Essendon; 3; 3; Fremantle; 10; 4
Week 1, 2024; Gold Coast; 2; 8; St Kilda; 11; 8
Week 1, 2024; Geelong; 6; 4; Melbourne; 6; 6
Week 1, 2024; Port Adelaide; 5; 5; Adelaide; 7; 7
Week 1, 2024; Hawthorn; 9; 12; Carlton; 4; 4
Week 1, 2024; Brisbane; 5; 4; North Melbourne; 12; 6
Week 2, 2024; Western Bulldogs; 0; 6; Port Adelaide; 7; 4
Week 2, 2024; Melbourne; 2; 3; Brisbane; 5; 3
Week 2, 2024; West Coast Eagles; 3; 7; Essendon; 6; 5
Week 2, 2024; Collingwood; 3; 8; Hawthorn; 11; 7
Week 2, 2024; Richmond; 5; 8; Greater Western Sydney; 4; 3
Week 2, 2024; Gold Coast; 5; 8; Carlton; 5; 9
Week 2, 2024; North Melbourne; 5; 6; Geelong; 5; 6
Week 2, 2024; St Kilda; 6; 6; Sydney Swans; 4; 2
Week 2, 2024; Fremantle; 0; 6; Adelaide; 5; 9
Week 3, 2024; Western Bulldogs; 3; 3; West Coast Eagles; 5; 2
Week 3, 2024; Brisbane; 10; 12; Collingwood; 3; 2
Week 3, 2024; Sydney Swans; 3; 4; Richmond; 10; 8
Week 3, 2024; Carlton; 4; 5; Geelong; 0; 5
Week 3, 2024; Port Adelaide; 4; 5; Fremantle; 5; 7
Week 3, 2024; Adelaide; 9; 4; Hawthorn; 4; 8
Week 3, 2024; Melbourne; 3; 3; North Melbourne; 11; 5
Week 3, 2024; Essendon; 2; 3; St Kilda; 3; 5
Week 3, 2024; Greater Western Sydney; 5; 6; Gold Coast; 5; 6
Week 4, 2024; Collingwood; 3; 1; West Coast Eagles; 5; 6
Week 4, 2024; Brisbane; 11; 15; Western Bulldogs; 5; 4
Week 4, 2024; Richmond; 6; 3; Carlton; 0; 6
Week 4, 2024; North Melbourne; 6; 6; Port Adelaide; 1; 0
Week 4, 2024; Gold Coast; 4; 3; Geelong; 15; 6
Week 4, 2024; St Kilda; 2; 5; Hawthorn; 11; 8
Week 4, 2024; Fremantle; 7; 5; Melbourne; 6; 5
Week 4, 2024; Adelaide; 9; 8; Essendon; 4; 5
Week 4, 2024; Collingwood; 2; 3; Western Bulldogs; 9; 3
Week 4, 2024; Sydney Swans; 6; 7; Greater Western Sydney; 6; 4
Week 4, 2024; West Coast Eagles; 2; 4; Brisbane; 8; 13
Week 5, 2024; Richmond; 6; 12; Port Adelaide; 3; 9
Week 5, 2024; Carlton; 1; 4; North Melbourne; 12; 7
Week 5, 2024; Geelong; 9; 7; Hawthorn; 12; 7
Week 5, 2024; Collingwood; 4; 3; Gold Coast; 3; 6
Week 5, 2024; Essendon; 11; 6; Melbourne; 1; 1
Week 5, 2024; St Kilda; 2; 2; Fremantle; 3; 7
Week 5, 2024; Western Bulldogs; 5; 9; Sydney Swans; 5; 2
Week 5, 2024; North Melbourne; 3; 9; Richmond; 2; 3
Week 5, 2024; Greater Western Sydney; 6; 4; West Coast Eagles; 10; 4
Week 5, 2024; Brisbane; 5; 5; Adelaide; 5; 3
Week 5, 2024; Port Adelaide; 8; 10; Carlton; 3; 5
Week 6, 2024; Geelong; 3; 9; Fremantle; 6; 9
Week 6, 2024; Hawthorn; 4; 11; Gold Coast; 3; 4
Week 6, 2024; Essendon; 4; 3; Sydney Swans; 3; 6
Week 6, 2024; Melbourne; 6; 5; Greater Western Sydney; 3; 7
Week 6, 2024; Adelaide; 3; 8; St Kilda; 3; 4
Week 6, 2024; North Melbourne; 8; 11; Western Bulldogs; 0; 4
Week 6, 2024; Richmond; 7; 4; Collingwood; 1; 4
Week 6, 2024; West Coast Eagles; 5; 6; Port Adelaide; 7; 7
Week 6, 2024; Carlton; 1; 7; Brisbane; 9; 14
Week 6, 2024; Gold Coast; 4; 3; Essendon; 5; 6
Week 6, 2024; Sydney Swans; 6; 5; Geelong; 5; 14
Week 6, 2024; Fremantle; 3; 7; Hawthorn; 5; 4
Week 7, 2024; St Kilda; 7; 7; Greater Western Sydney; 2; 3
Week 7, 2024; Adelaide; 1; 8; Melbourne; 2; 4
Week 7, 2024; Port Adelaide; 4; 9; Collingwood; 3; 7
Week 7, 2024; Western Bulldogs; 0; 3; Essendon; 3; 8
Week 7, 2024; Hawthorn; 11; 8; West Coast Eagles; 1; 2
Week 7, 2024; Richmond; 6; 10; Geelong; 5; 9
Week 7, 2024; Brisbane; 6; 8; Gold Coast; 4; 4
Week 7, 2024; Fremantle; 4; 6; Carlton; 5; 4
Week 7, 2024; North Melbourne; 14; 3; Sydney Swans; 4; 3
Week 7, 2024; St Kilda; 5; 0; Melbourne; 6; 8
Week 7, 2024; Greater Western Sydney; 4; 4; Adelaide; 14; 8
Week 8, 2024; Carlton; 4; 4; Western Bulldogs; 9; 7
Week 8, 2024; Port Adelaide; 7; 5; St Kilda; 5; 2
Week 8, 2024; Hawthorn; 9; 7; Greater Western Sydney; 3; 6
Week 8, 2024; Sydney Swans; 6; 10; Gold Coast; 7; 8
Week 8, 2024; Melbourne; 8; 3; Richmond; 5; 8
Week 8, 2024; West Coast Eagles; 1; 6; Fremantle; 5; 5
Week 8, 2024; Geelong; 7; 5; Brisbane; 5; 7
Week 8, 2024; Essendon; 1; 1; North Melbourne; 8; 10
Week 8, 2024; Collingwood; 2; 1; Adelaide; 8; 8
Week 9, 2024; Hawthorn; 3; 5; Melbourne; 2; 5
Week 9, 2024; Adelaide; 4; 9; North Melbourne; 6; 5
Week 9, 2024; Greater Western Sydney; 4; 1; Fremantle; 7; 13
Week 9, 2024; Gold Coast; 3; 6; Port Adelaide; 8; 10
Week 9, 2024; West Coast Eagles; 3; 5; Geelong; 9; 2
Week 9, 2024; Essendon; 6; 6; Richmond; 6; 6
Week 9, 2024; Western Bulldogs; 5; 6; St Kilda; 5; 5
Week 9, 2024; Collingwood; 4; 4; Carlton; 5; 2
Week 9, 2024; Brisbane; 11; 12; Sydney Swans; 1; 4
Week 10, 2024; Geelong; 4; 4; Adelaide; 4; 8
Week 10, 2024; Melbourne; 11; 8; Collingwood; 4; 3
Week 10, 2024; Sydney Swans; 10; 14; West Coast Eagles; 4; 4
Week 10, 2024; North Melbourne; 11; 12; Gold Coast; 2; 3
Week 10, 2024; Carlton; 3; 6; Essendon; 9; 6
Week 10, 2024; St Kilda; 6; 5; Brisbane; 10; 8
Week 10, 2024; Richmond; 3; 5; Hawthorn; 6; 10
Week 10, 2024; Port Adelaide; 7; 1; Greater Western Sydney; 6; 6
Week 10, 2024; Fremantle; 4; 11; Western Bulldogs; 3; 3
Qualifying Final, 2024; North Melbourne; 5; 8; Adelaide; 5; 1
Qualifying Final, 2024; Hawthorn; 4; 8; Brisbane; 6; 2
Elimination Final, 2024; Fremantle; 5; 6; Essendon; 4; 2
Elimination Final, 2024; Port Adelaide; 11; 6; Richmond; 7; 6
Semi Final, 2024; Adelaide; 7; 7; Fremantle; 1; 6
Semi Final, 2024; Hawthorn; 6; 13; Port Adelaide; 7; 8
Preliminary Final, 2024; North Melbourne; 12; 6; Port Adelaide; 2; 9
Preliminary Final, 2024; Brisbane; 7; 8; Adelaide; 4; 8
Grand Final, 2024; North Melbourne; 6; 3; Brisbane; 1; 3
Round 1, 2025; Carlton; 6; 9; Collingwood; 3; 3
Round 1, 2025; West Coast Eagles; 5; 5; Gold Coast; 2; 8
Round 1, 2025; Sydney Swans; 8; 10; Richmond; 5; 8
Round 1, 2025; Geelong; 3; 3; North Melbourne; 8; 3
Round 1, 2025; Greater Western Sydney; 3; 11; Essendon; 13; 7
Round 1, 2025; Western Bulldogs; 1; 8; Melbourne; 9; 8
Round 1, 2025; Brisbane; 3; 11; Hawthorn; 4; 9
Round 1, 2025; St Kilda; 6; 5; Adelaide; 2; 7
Round 1, 2025; Port Adelaide; 3; 6; Fremantle; 7; 4
Round 2, 2025; Collingwood; 4; 9; Greater Western Sydney; 4; 1
Round 2, 2025; Melbourne; 13; 11; St Kilda; 2; 3
Round 2, 2025; Gold Coast; 3; 3; Sydney Swans; 15; 13
Round 2, 2025; Fremantle; 5; 5; Brisbane; 17; 3
Round 2, 2025; Hawthorn; 3; 12; Carlton; 2; 10
Round 2, 2025; Richmond; 3; 3; Western Bulldogs; 6; 6
Round 2, 2025; North Melbourne; 13; 9; Port Adelaide; 2; 3
Round 2, 2025; Essendon; 4; 7; West Coast Eagles; 4; 2
Round 2, 2025; Adelaide; 10; 5; Geelong; 3; 9
Round 3, 2025; Richmond; 3; 10; Essendon; 6; 7
Round 3, 2025; Greater Western Sydney; 2; 10; Adelaide; 7; 12
Round 3, 2025; St Kilda; 4; 4; West Coast Eagles; 6; 6
Round 3, 2025; Geelong; 6; 9; Sydney Swans; 7; 8
Round 3, 2025; Port Adelaide; 16; 12; Gold Coast; 5; 10
Round 3, 2025; Western Bulldogs; 1; 4; Hawthorn; 2; 2
Round 3, 2025; Collingwood; 4; 9; Melbourne; 5; 7
Round 3, 2025; Fremantle; 2; 2; North Melbourne; 18; 6
Round 3, 2025; Brisbane; 6; 8; Carlton; 9; 4
